constituency,ward
Bumula,Bumula
Bumula,Khasoko
Bumula,Kabula
Bumula,Kimaeti
Bumula,West Bukusu
Bumula,Siboti
Kanduyi,Bukembe West
Kanduyi,Bukembe East
Kanduyi,Township
Kanduyi,Khalaba
Kanduyi,Musikoma
Kanduyi,East Sang'alo
Kanduyi,Marakaru/Tuuti
Kanduyi,West Sang'alo
Webuye East,Mihuu
Webuye East,Ndivisi
Webuye East,Maraka
Webuye West,Misikhu
Webuye West,Sitikho
Webuye West,Matulo
Webuye West,Bokoli
Kimilili,Kibingei
Kimilili,Kimilili
Kimilili,Maeni
Kimilili,Kamukuywa
Tongaren,Mbakalo
Tongaren,Naitiri/Kabuyefwe
Tongaren,Milima
Tongaren,Ndalu/ Tabani
Tongaren,Tongaren
Tongaren,Soysambu/ Mitua
Teso North,Malaba Central
Teso North,Malaba North
Teso North,Ang'urai South
Teso North,Ang'urai North
Teso North,Ang'urai East
Teso North,Malaba South
Teso South,Ang'orom
Teso South,Chakol South
Teso South,Chakol North
Teso South,Amukura West
Teso South,Amukura East
Teso South,Amukura Central
Nambale,Nambale Township
Nambale,Bukhayo North/Waltsi
Nambale,Bukhayo East
Nambale,Bukhayo Central
Matayos,Bukhayo West
Matayos,Mayenje
Matayos,Matayos South
Matayos,Busibwabo
Matayos,Burumba
Butula,Marachi West
Butula,Kingandole
Butula,Marachi Central
Butula,Marachi East
Butula,Marachi North
Butula,Elugulu
Funyula,Namboboto Nambuku
Funyula,Nangina
Funyula,Ageng'a Nanguba
Funyula,Bwiri
Budalangi,Bunyala Central
Budalangi,Bunyala North
Budalangi,Bunyala West
Budalangi,Bunyala South
Ugenya,West Ugenya
Ugenya,Ukwala
Ugenya,North Ugenya
Ugenya,East Ugenya
Ugunja,Sidindi
Ugunja,Sigomere
Ugunja,Ugunja
Alego Usonga,Usonga
Alego Usonga,West Alego
Alego Usonga,Central Alego
Alego Usonga,Siaya Township
Alego Usonga,North Alego
Alego Usonga,South East Alego
Gem,North Gem
Gem,West Gem
Gem,Central Gem
Gem,Yala Township
Gem,East Gem
Gem,South Gem
Bondo,West Yimbo
Bondo,Central Sakwa
Bondo,South Sakwa
Bondo,Yimbo East
Bondo,West Sakwa
Bondo,North Sakwa
Rarieda,East Asembo
Rarieda,West Asembo
Rarieda,North Uyoma
Rarieda,South Uyoma
Rarieda,West Uyoma
Kisumu East,Kajulu
Kisumu East,Kolwa East
Kisumu East,Manyatta 'B'
Kisumu East,Nyalenda 'A'
Kisumu East,Kolwa Central
Kisumu West,South West Kisumu
Kisumu West,Central Kisumu
Kisumu West,Kisumu North
Kisumu West,West Kisumu
Kisumu West,North West Kisumu
Kisumu Central,Railways
Kisumu Central,Migosi
Kisumu Central,Shaurimoyo Kaloleni
Kisumu Central,Market Milimani
Kisumu Central,Kondele
Kisumu Central,Nyalenda B
Seme,West Seme
Seme,Central Seme
Seme,East Seme
Seme,North Seme
Nyando,East Kano/Wawidhi
Nyando,Awasi/Onjiko
Nyando,Ahero
Nyando,Kabonyo/Kanyagwal
Nyando,Kobura
Muhoroni,Miwani
Muhoroni,Ombeyi
Muhoroni,Masogo/Nyang'oma
Muhoroni,Chemelil
Muhoroni,Muhoroni/Koru
Nyakach,South West Nyakach
Nyakach,North Nyakach
Nyakach,Central Nyakach
Nyakach,West Nyakach
Nyakach,South East Nyakach
Kasipul,West Kasipul
Kasipul,South Kasipul
Kasipul,Central Kasipul
Kasipul,East Kamagak
Kasipul,West Kamagak
Kabondo Kasipul,Kabondo East
Kabondo Kasipul,Kabondo West
Kabondo Kasipul,Kokwanyo/Kakelo
Kabondo Kasipul,Kojwach
Karachuonyo,West Karachuonyo
Karachuonyo,North Karachuonyo
Karachuonyo,Central Karachuonyo
Karachuonyo,Kanyaluo
Karachuonyo,Kibiri
Karachuonyo,Wang'chieng
Karachuonyo,Kendu Bay Town
Rangwe,West Gem
Rangwe,East Gem
Rangwe,Kagan
Rangwe,Kochia
Homa Bay Town,Homa Bay Central
Homa Bay Town,Homa Bay Arujo
Homa Bay Town,Homa Bay West
Homa Bay Town,Homa Bay East
Ndhiwa,Kwabwai
Ndhiwa,Kanyadoto
Ndhiwa,Kanyikela
Ndhiwa,Kabuoch North
Ndhiwa,Kabuoch South/Pala
Ndhiwa,Kanyamwa Kologi
Ndhiwa,Kanyamwa Kosewe
Suba North,Mfangano Island
Suba North,Rusinga Island
Suba North,Kasgunga
Suba North,Gembe
Suba North,Lambwe
Suba South,Gwassi South
Suba South,Gwassi North
Suba South,Kaksingri West
Suba South,Ruma-Kaksingri
Rongo,North Kamagambo
Rongo,Central Kamagambo
Rongo,East Kamagambo
Rongo,South Kamagambo
Awendo,North Sakwa
Awendo,South Sakwa
Awendo,West Sakwa
Awendo,Central Sakwa
Suna East,God Jope
Suna East,Suna Central
Suna East,Kakrao
Suna East,Kwa
Suna West,Wiga
Suna West,Wasweta II
Suna West,Ragana-Oruba
Suna West,Wasimbete
Uriri,West Kanyamkago
Uriri,North Kanyamkago
Uriri,Central Kanyamkago
Uriri,South Kanyamkago
Uriri,East Kanyamkago
Nyatike,Kachien'g
Nyatike,Kanyasa
Nyatike,North Kadem
Nyatike,Macalder/Kanyarwanda
Nyatike,Kaler
Nyatike,Got Kachola
Nyatike,Muhuru
Kuria West,Makerero
Kuria West,Bukira East
Kuria West,Bukira Central/Ikerege
Kuria West,Isibania
Kuria West,Amakye
Kuria West,Nyamosense/Komosoko
Kuria West,Tagare
Kuria West,Masaba
Kuria East,Gokeharaka/Getambwega
Kuria East,Ntimaru West
Kuria East,Ntimaru East
Kuria East,Nyabasi West
Kuria East,Nyabasi East
Bonchari,Bomariba
Bonchari,Bogiakumu
Bonchari,Bokeira
Bonchari,Riana
South Mugirango,Tabaka
South Mugirango,Boikang'a
South Mugirango,Bogetenga
South Mugirango,Borabu / Chitago
South Mugirango,Moticho
South Mugirango,Getenga
Bomachoge Borabu,Bombaba Borabu
Bomachoge Borabu,Boochi Borabu
Bomachoge Borabu,Bokimonge
Bomachoge Borabu,Magenche
Bobasi,Masige West
Bobasi,Masige East
Bobasi,Bassasi Chache
Bobasi,Bassasi Borabu
Bobasi,Sameta / Mokwerero
Bobasi,Bobasi Central
Bobasi,Nyacheki
Bobasi,Bobasi Chache
Bomachoge Chache,Majoge Bassi
Bomachoge Chache,Boochi / Tendere
Bomachoge Chache,Bosoti / Sengera
Nyaribari Chache,Birongo
Nyaribari Chache,Keumbu
Nyaribari Chache,Central Nyaribari
Nyaribari Chache,Kisii Central
Nyaribari Chache,Ibeno
Nyaribari Masaba,Ichuni
Nyaribari Masaba,Nyamasibi
Nyaribari Masaba,Masimba
Nyaribari Masaba,Gesusu
Nyaribari Masaba,Kiamokama
Kitutu Chache North,Memonge
Kitutu Chache North,Marani
Kitutu Chache North,Sensi
Kitutu Chache North,Mwamonari
Kitutu Chache South,Bogusero
Kitutu Chache South,Bogeka
Kitutu Chache South,Nyokie
Kitutu Chache South,Nyakoe
Kitutu Chache South,Kitutu Central
Kitutu Masaba,Rigoma
Kitutu Masaba,Gachuba
Kitutu Masaba,Kemera
Kitutu Masaba,Magwagwa
Kitutu Masaba,Manga
Kitutu Masaba,Gesima
West Mugirango,Nyamaiya
West Mugirango,Bogichora
West Mugirango,Bosamaro
West Mugirango,Bonyamatuta
West Mugirango,Township
North Mugirango,Itibo
North Mugirango,Bomwagamo
North Mugirango,Bokeira
North Mugirango,Ekerenyo
Borabu,Mekenene
Borabu,Kiabonyoru
Borabu,Nyansiongo
Borabu,Esise
Westlands,Kitisuru
Westlands,Parklands/Highridge
Westlands,Karura
Westlands,Kangemi
Westlands,Mountain View
Dagoretti North,Kilimani
Dagoretti North,Kawangware
Dagoretti North,Gatina
Dagoretti North,Kileleshwa
Dagoretti North,Kabiro
Dagoretti South,Mutu-ini
Dagoretti South,Ngando
Dagoretti South,Riruta
Dagoretti South,Uthiru/Ruthimitu
Dagoretti South,Waithaka
Lang'ata,Karen
Lang'ata,Nairobi West
Lang'ata,Mugumo-ini
Lang'ata,South C
Lang'ata,Sartem Field
Kibra,Laini Saba
Kibra,Lindi
Kibra,Makina
Kibra,Woodley/Kenyatta Golf Course
Kibra,Sarang'ombe
Roysambu,Githurai
Roysambu,Kahawa West
Roysambu,Zimmerman
Roysambu,Roysambu
Roysambu,Kahawa
Kasarani,Clay City
Kasarani,Mwiki
Kasarani,Kasarani
Kasarani,Njiru
Kasarani,Ruai
Ruaraka,Babadogo
Ruaraka,Utalii
Ruaraka,Mathare North
Ruaraka,Lucky Summer
Ruaraka,Korogocho
Embakasi South,Imara Daima
Embakasi South,Kware
Embakasi South,Kwa Njenga
Embakasi South,Kwa Reuben
Embakasi South,Pipeline
Embakasi North,Kariobangi North
Embakasi North,Dandora Area I
Embakasi North,Dandora Area II
Embakasi North,Dandora Area III
Embakasi North,Dandora Area IV/V
Embakasi Central,Kayole North
Embakasi Central,Kayole Central
Embakasi Central,Kayole South
Embakasi Central,Komarock
Embakasi Central,Matopeni/Spring Valley
Embakasi East,Upper Savannah
Embakasi East,Lower Savannah
Embakasi East,Embakasi
Embakasi East,Utawala
Embakasi East,Mihang'o
Embakasi West,Umoja I
Embakasi West,Umoja II
Embakasi West,Mowlem
Embakasi West,Kariobangi South
Makadara,Maringo/Hamza
Makadara,Viwandani
Makadara,Harambee
Makadara,Makongeni
Makadara,Pumwani
Kamukunji,Eastleigh North
Kamukunji,Eastleigh South
Kamukunji,Air Base
Kamukunji,California
Kamukunji,Kiamaiko
Starehe,Nairobi Central
Starehe,Ngara
Starehe,Pangani
Starehe,Ziwani/Kariokor
Starehe,Landimawe
Starehe,Nairobi South
Mathare,Hospital
Mathare,Mabatini
Mathare,Huruma
Mathare,Ngei
Mathare,Mlango Kubwa
Mathare,Kiamaiko
